id_number	mz	rtime	cSelectivity	goodness_fitting	snr	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F2185	291.1805	143.05	1	0.98	1348	0	411079	0	6115533	0	4897142
F2186	291.1805	152.96	1	0.91	687	0	3073770	0	3380598	0	3528710
F2187	291.1955	146.83	1	0.9	763	16860560	17199970	16536011	15274427	15063011	15896025
F2188	291.2166	154.79	1	0.94	915	1725405	1336793	1624314	2208789	2182356	2550578
F2189	291.2166	166.85	1	0.94	163	445751	441948	489383	291304	576703	401753
F2190	164.1282	639.44	1	0.91	10	18252137	17190152	16888886	17300698	16343047	16315821
F2191	230.1867	185.63	1	0.85	15	5914626	5338145	5441628	9449512	9115221	8888793
F2192	230.1867	852.35	0.51	0.76	7	6929132	6744995	6748608	6373412	6125631	5924191
F2193	291.2321	145.04	1	0.99	586	5719858	6005437	5560421	6342853	6793693	5480549
F2194	332.1939	145.95	0.9	0.91	159	1859999	1715443	2052056	1669559	1495424	1627342
F2195	332.1939	165.91	0.85	0.8	29	129901	166010	102863	174339	302672	112367
F2196	332.1939	237.83	0.84	0.78	59	747640	697399	725641	835962	819373	823450
F2197	230.9954	798.38	1	0.98	362	2363918	7739	1793490	0	0	0
F2198	230.9954	808.82	1	0.97	242	0	2228646	8792	0	0	0
F2199	230.9954	822.18	1	1	889	0	0	0	2772373	2685105	2187864
F2200	164.1436	156.73	1	0.76	10	1917826	2278410	2062949	2643380	2017700	2552029
F2201	164.1436	232.87	1	0.39	13	21838534	21964920	22631632	22358716	21769056	22768402
F2202	164.1516	145.04	1	0.97	385	0	0	0	621640	609661	662204
F2203	231.0364	841	1	0.93	394	0	0	0	3501084	3515648	3592059
F2204	291.2432	159.79	1	0.98	347	2067361	2748715	2788297	1668515	1893190	1712971
F2205	291.2432	199.66	0.94	0.6	24	951142	894102	1121283	333201	455489	449416
F2206	291.2432	321.34	1	0.94	42	1830543	2053808	2090225	759256	812550	799994
F2207	291.2432	414.1	0.94	0.39	24	694510	701622	750720	398094	357544	408542
F2208	292.0738	141.99	1	0.99	424	450953	504438	497541	526811	744758	583788
F2209	332.2124	131.41	1	0.96	69	171552	230574	221813	203974	221083	254295
F2210	332.2124	168.67	1	0.94	526	1936989	1917814	2049290	1970973	2054486	1973362
F2211	231.0843	540.39	1	0.91	206	1366330	1566861	1602726	1473799	1633933	1575284
F2212	164.9207	824.43	1	0.95	185	19743047	12741175	16430594	142541	93280	74338
F2213	164.9207	842.03	1	0.95	343	6246538	15385592	10597935	29031308	29482258	28512992
F2214	292.127	691.13	1	0.86	40	6013118	6975813	7554376	6650708	7090910	6950804
F2215	231.1164	795.26	1	1	131	0	0	0	864271	1065111	1117936
F2216	292.1439	273.07	1	0.99	315	0	0	0	2193045	2164291	2263417
F2217	332.2221	146.83	1	0.92	971	38569748	40207102	40000022	37520587	38652876	38420622
F2218	231.1208	188.57	0.82	0.85	39	317263	234289	285446	375278	358766	396159
F2219	332.2296	145.95	1	0.89	290	266894	542831	670236	314118	422412	418396
F2220	164.9301	817.68	1	0.9	417	26542539	14751829	18949274	230998	107809	52429
F2221	164.9301	844.08	1	0.98	598	4656231	9007606	4790569	23072965	20964126	20385472
F2222	231.123	151.18	1	0.96	680	1161447	1551612	1652839	2632956	3076075	2915522
F2223	231.123	168.67	1	0.82	379	1889991	1365299	1685133	1925691	1666350	1600706
F2224	332.243	145.04	0.83	0.91	49	0	309725	0	273473	397160	418316
F2225	332.243	236.86	0.72	0.78	30	0	117753	0	392097	392365	346186
F2226	165.0511	634.83	1	0.81	23	14080493	13747993	15927358	13575909	13367813	14180143
F2227	165.0511	777.94	1	0.7	8	9473468	9360301	10860076	9730256	10196230	10334259
F2228	231.1383	145.04	1	0.77	82	2227844	2124297	2611567	2003770	2345210	2174789
F2229	231.1383	237.83	0.95	0.4	14	291208	118436	301774	279062	295743	285901
F2230	332.2585	77.23	0.96	0.84	7	880612	917150	863673	872232	924132	878150
F2231	332.2585	145.04	1	0.94	83	1366702	1381164	1497893	1408123	934175	999260
F2232	332.2585	216.69	0.97	0.89	11	1048743	883179	873525	1339839	1218327	1232076
F2233	332.2585	420.68	0.96	0.5	8	1768174	1954799	1863631	1966638	1945512	1988797
F2234	165.0548	145.04	1	0.91	52	190875	377065	273628	0	0	249082
F2235	165.0548	629.03	1	0.9	71	4326376	4446782	4504821	0	0	67550
F2236	231.1594	164.92	1	0.96	840	22742150	23140732	24095825	24979219	24766125	24226490
F2237	165.07	143.05	1	0.96	432	1268312	1201431	976036	1123980	1612676	1361652
F2238	332.2795	141.99	1	0.95	105	1910378	1716845	1870969	1950220	2077079	1867113
F2239	332.2795	160.81	1	0.86	1023	37719370	37572943	38008907	13588421	12669956	12559315
F2240	231.1708	385.48	1	0.65	13	11642471	10649995	10179210	7191645	6301217	6348291
F2241	332.3313	173.54	1	0.89	178	1984616	2024386	1880214	2088670	2186256	1979036
F2242	332.3313	414.1	1	0.83	81	2469707	2685370	2593584	2108896	2138252	2159411
F2243	332.7916	804.38	0.64	0.93	19	13473	415230	126267	0	0	0
F2244	332.7916	817.68	0.67	0.97	46	0	57728	0	281004	393158	508781
F2245	231.1745	146.83	1	0.93	184	801506	546544	810199	828609	563638	612624
F2246	292.1756	441.96	0.98	0.97	13	248589	191868	236148	237309	231056	233651
F2247	292.1756	454.59	1	0.97	22	477486	503404	427334	485958	444936	411201
F2248	231.207	164.92	1	0.97	113	0	0	0	394475	334718	300810
F2249	231.211	161.85	0.54	0.53	142	330839	414977	589624	0	0	131756
F2250	232.0503	801.36	1	0.97	161	0	0	0	752724	892150	867595
F2251	232.0617	422.84	1	0.99	1644	85825045	92341341	96445268	39114764	39682329	41188109
F2252	232.0617	769.94	1	0.98	28	9766	9881	8629	1613007	1596175	1521748
F2253	165.091	144.07	1	0.83	8	1152929	1402478	1332888	1659773	1629495	1245561
F2254	232.0925	466.15	1	0.94	251	0	0	0	1387191	1509094	1565029
F2255	332.8947	788.71	0.3	0.76	8	1052383	17226	473762	16411	7512	16094
F2256	232.1124	147.7	1	0.88	333	837579	1076550	660257	1720398	1650126	1274427
F2257	165.0967	809.98	1	0.86	528	0	0	0	7213790	7870389	7915733
F2258	332.9525	825.59	1	0.95	76	3054102	3152824	4039007	37217	30748	1888
F2259	332.9525	845.08	1	0.97	129	648756	1115090	746149	3131289	3515591	3878497
F2260	165.1048	697.82	1	0.99	217	0	0	0	1553435	1525165	1567254
F2261	165.1048	719.81	1	1	347	0	0	0	2175925	2303316	2273362
F2262	232.1627	164.92	1	0.97	1675	2538037	2701250	2439453	3084197	2941459	2855929
F2263	332.972	826.81	1	0.98	77	0	0	0	1152506	1170339	1195793
F2264	333.003	842.03	1	0.98	700	0	0	0	3017945	3107137	2687885
F2265	165.1274	147.7	1	0.88	121	10386684	10688960	11024040	22430525	19500328	20799411
F2266	333.0895	831.27	1	0.97	105	0	0	0	0	592054	611392
F2267	232.2063	145.95	1	0.97	356	309798	441629	606806	357289	302704	297585
F2268	333.1318	186.61	0.93	0.72	72	389201	345718	376128	342893	0	373355
F2269	333.1318	236.86	1	0.94	201	545543	90654	529843	660280	0	541173
F2270	333.1318	283.36	0.94	0.79	61	630501	565097	557108	474860	0	550406
F2271	333.1482	145.95	1	0.68	155	393945	0	369030	150177	0	247026
F2272	292.1908	145.95	1	0.85	194	5331804	5350736	5310516	5937858	5235070	4323292
F2273	333.1527	173.54	0.92	0.79	20	240193	308988	249971	307899	214815	120321
F2274	333.1527	187.59	0.92	0.93	63	620820	836310	888265	779260	809910	819326
F2275	333.1527	238.79	1	0.93	78	876834	144877	988968	789638	773551	810209
F2276	333.1527	258.76	0.93	0.53	16	12946	604412	15470	18296	7484	6901
F2277	333.1527	688.96	0.95	0.94	28	1362248	1607321	1612980	1508434	1663088	1591632
F2278	292.1987	145.95	1	0.89	427	873748	869315	945459	1006884	1306037	759766
F2279	292.1987	974.02	0.95	0.95	75	1586756	1485320	1573858	0	0	0
F2280	233.0545	849.14	1	0.99	496	0	0	0	1440301	1736273	2287015
F2281	233.0652	425	1	0.98	952	6091861	6193730	6789729	2539592	2702441	2833763
F2282	292.212	160.81	1	0.8	149	655753	762749	362902	1076120	1631168	1316593
F2283	292.212	183.67	0.97	0.76	38	677504	525997	568560	680012	613195	720548
F2284	333.1696	148.57	1	0.92	894	6487435	6368711	6039038	7505052	6603475	7077070
F2285	333.1696	237.83	1	0.77	120	1283666	1443705	1492231	1549736	1450958	1630814
F2286	233.079	204.67	1	0.86	58	37345946	26489496	39541093	36405866	31495339	36869363
F2287	233.079	253.71	1	0.94	351	107088339	93730419	106224656	112889615	98359665	103508609
F2288	292.2272	157.74	1	0.97	3345	145031908	152557239	151244836	62838459	60720868	61309938
F2289	292.2354	145.04	1	0.92	642	712821	550791	693124	0	792160	693309
F2290	233.1002	199.66	1	0.77	29	713288	558991	735596	532581	544287	510240
F2291	233.1002	293.91	1	0.98	156	6479709	6711741	6698414	6045858	6228787	6258281
F2292	165.1388	458.06	1	0.89	53	7495951	7960050	7597988	7900621	7675843	7911145
F2293	333.206	146.83	1	0.89	150	16673666	17266648	17926455	17376707	15759467	15665630
F2294	333.206	236.86	1	0.72	62	7280811	6835916	8320999	8197311	8582239	8841520
F2295	333.206	409.75	1	0.54	20	7942422	8706322	8396197	8303376	8026707	8405563
F2296	292.2638	145.95	1	0.66	148	208370	162125	118010	201492	174695	99490
F2297	292.2638	172.51	1	0.99	477	690634	588246	716049	953209	904495	672935
F2298	292.2638	238.79	1	0.96	364	608710	5975	655986	641860	621975	631563
F2299	233.1026	185.63	1	0.85	132	607487	606163	615632	710077	635811	570919
F2300	233.1026	237.83	1	0.96	282	598297	104037	743983	773486	651553	639246
F2301	233.1026	256.74	0.97	0.45	52	6036	670399	15900	12153	7873	0
F2302	292.2847	147.7	1	0.93	119	2674023	1623468	1491211	2566730	2005702	1765332
F2303	333.2132	187.59	1	0.99	1093	5428044	5329996	5257853	2056080	1960249	1996948
F2304	333.2132	241.74	1	0.75	427	2501562	2526450	2790618	1137524	1155343	1156149
F2305	165.1638	145.95	1	0.73	134	906046	1244304	1267995	1431918	1710336	940237
F2306	165.1638	155.75	1	0.84	114	632405	1107599	624866	358695	426774	464321
F2307	233.1176	146.83	1	0.78	29	0	285149	250997	0	353432	361023
F2308	333.2253	146.83	1	0.98	1343	4955236	4489413	5001567	4126334	4225498	4459846
F2309	333.2253	159.79	1	0.94	292	903642	855020	741645	1106915	946665	851419
F2310	333.2253	236.86	1	0.93	151	589482	116664	569736	604579	807330	699083
F2311	292.9599	826.81	1	0.91	128	9465380	9414255	12260590	132223	39447	15127
F2312	292.9599	845.08	1	0.99	236	315250	1935584	675705	9434655	10593191	11835134
F2313	165.1888	773.92	1	0.89	10	13243443	14009948	16438079	12306913	13887139	15937758
F2314	165.1888	836.75	1	0.91	9	12977924	15841515	17027448	14374463	15958694	17575262
F2315	333.2383	163.9	1	0.98	692	312008	574134	782375	722800	656260	754926
F2316	233.1539	145.04	1	0.75	56	2136058	1931498	2050782	2908478	2393852	2274122
F2317	233.1751	167.76	1	0.9	198	3320544	3037589	3443774	3595933	3718930	3606528
F2318	333.2426	145.04	1	0.99	602	1541023	2228118	1319426	2139154	1877187	1492120
F2319	333.2426	233.86	0.91	0.83	35	255106	98886	256988	227101	202112	259523
F2320	293.1055	68.94	1	0.81	9	9161484	8239930	7758369	8592745	7795991	7456053
F2321	166.0864	523.11	1	0.92	19	29503427	29154945	29331444	1989401	1923015	2042698
F2322	333.279	144.07	1	0.92	489	783508	528614	617673	887068	816290	736427
F2323	233.1865	193.63	0.95	0.66	21	406909	508530	520562	399530	318006	325721
F2324	233.1865	245.67	1	0.83	30	265049	15295	224294	220720	188026	211191
F2325	233.1865	303.64	1	0.81	54	1306365	1484697	1235926	1368997	1321765	1360982
F2326	233.1865	466.15	1	0.94	344	2265447	2527325	2569149	5381264	5686758	5994321
F2327	166.1091	315.25	1	0.97	65	0	0	0	1049070	988465	954045
F2328	166.1091	729.93	1	0.98	158	0	0	0	1166264	1411481	1650136
F2329	166.1091	788.71	1	0.94	106	0	0	0	840630	892087	1056584
F2330	166.1091	807.69	1	0.98	89	0	0	0	350539	388578	524460
F2331	333.2827	141.99	1	0.96	136	112666	159211	112522	241957	61197	168578
F2332	333.2827	160.81	1	0.99	2181	4443655	4414769	3983723	1285008	1455201	1108522
F2333	333.2827	171.5	1	0.98	681	1500010	1357017	1306351	366237	410557	363654
F2334	333.2827	236.86	1	0.9	335	650740	10275	790156	266080	280887	285231
F2335	293.1158	235.83	1	0.99	1355	3812879	170484	4280770	5237473	4673582	4928113
F2336	293.1158	252.7	0.88	0.6	169	563239	4093669	578735	650996	585225	644095
F2337	293.1472	211.72	1	0.94	99	0	0	0	2427493	2292693	1985475
F2338	293.1472	274.08	1	0.99	1772	0	0	0	19422000	19126651	20088971
F2339	333.3137	141.99	1	0.93	51	0	0	0	487044	495039	386401
F2340	233.1903	145.95	1	0.96	236	4088280	3029772	3816071	2991215	3047077	2661463
F2341	233.1903	247.67	1	0.62	15	365773	142653	347639	339659	296490	291839
F2342	293.1538	147.7	1	0.94	816	1795580	1612567	1529904	1120973	1234528	954049
F2343	333.3417	168.67	1	0.97	102	0	0	0	0	367671	410249
F2344	333.3417	236.86	0.88	0.93	54	0	0	0	0	220877	266417
F2345	233.2266	152.96	1	0.97	1789	8041045	7381206	8049918	2312917	2594973	2143251
F2346	293.157	329.5	1	0.99	298	0	0	0	3833360	3678891	3609983
F2347	234.0575	422.84	1	0.98	696	3374361	3733120	3833413	1395103	1459647	1565122
F2348	334.1375	691.13	1	0.88	28	23052370	25395331	25248033	25231449	25123607	23208958
F2349	166.1227	161.85	1	0.43	15	3145274	3299177	3424352	4098020	3990376	3489914
F2350	293.1596	169.59	1	0.85	1397	4103515	4520772	4553306	4321720	4570222	4943469
F2351	293.1596	238.79	1	0.96	232	494853	28702	506497	589705	624263	605821
F2352	334.1646	157.74	0.62	0.62	83	109678	0	0	0	191428	230362
F2353	334.1646	237.83	0.62	0.88	85	350705	0	274075	0	369334	395067
F2354	293.1714	422.84	1	0.99	225	0	0	0	1258392	1271845	1247018
F2355	167.0129	517.7	1	0.94	44	0	0	2461755	0	0	2238510
F2356	167.0555	143.05	1	0.98	936	674591	887276	1302165	1417884	1497429	1978740
F2357	293.1748	147.7	1	0.8	23	3075485	4119401	4063190	4685110	4584908	3996874
F2358	334.1859	169.59	1	0.64	179	9631949	9424470	10023540	11331134	11817351	10772955
F2359	334.1859	428.3	1	0.33	9	360767	382349	372787	412435	395580	392511
F2360	293.1901	146.83	1	0.98	2641	4376053	5028391	5499146	4204372	3944686	4232175
F2361	167.0815	155.75	0.41	0.89	8	366644	512747	407988	612437	707109	655302
F2362	167.0815	238.79	0.5	0.78	8	1186370	386871	1393612	1299608	1415026	1360469
F2363	334.1975	247.67	1	0.84	165	0	0	0	1237180	1070524	750602
F2364	334.1975	277.19	1	0.99	393	0	0	0	7778792	8870187	9322022
F2365	167.0856	145.95	1	0.93	326	519904	593721	807701	615369	690229	807660
F2366	293.196	156.73	1	0.97	268	11357482	12101102	12911852	12413285	12600180	13017323
F2367	234.0824	206.71	1	0.84	88	2688020	1966303	2885994	2526600	2365009	2805382
F2368	234.0824	253.71	1	0.94	554	8370370	7119362	8133023	9109719	7490211	7812183
F2369	293.2113	146.83	1	0.98	641	7773634	7853489	8050978	7848194	7698654	8462010
F2370	293.2113	157.74	1	0.97	699	13991967	14888728	14958410	6914995	7331299	7979578
F2371	167.1124	729.93	1	0.98	933	0	0	0	8946148	10772019	12946257
F2372	167.1124	754.62	1	0.99	157	0	0	0	1479212	1541372	1551279
F2373	293.2305	157.74	1	0.97	6233	24309817	26690511	23843053	10276866	9414026	9815169
F2374	234.1855	149.44	1	0.98	833	4284815	5431955	5523751	6020072	6539566	7831351
F2375	293.2478	145.04	1	0.99	128	1991024	2089094	1918613	2010972	1739906	1885047
F2376	294.1187	235.83	1	0.93	377	447588	5696	323580	466870	677919	589858
F2377	294.1187	409.75	0.91	0.91	80	2020	2181	2573	622600	491509	430648
F2378	294.149	157.74	0.67	0.37	198	417462	316175	222186	0	494005	538375
F2379	334.2013	147.7	1	0.84	596	9865371	9424428	11484706	11376573	10615948	9566036
F2380	234.2219	146.83	1	0.98	714	2101694	2373456	2949998	2616082	3079882	1951015
F2381	294.1549	164.92	0.73	0.52	35	1355452	1407099	1431826	1335086	1376599	1305434
F2382	294.1549	186.61	0.57	0.83	20	1153683	1112854	1400693	1406137	1469486	1521474
F2383	294.1549	240.76	0.65	0.94	30	1001739	305636	1211802	1143038	1263251	1359764
F2384	294.1549	260.8	0.54	0.5	7	161721	821807	188891	276352	220418	161710
F2385	167.1181	493.18	1	0.96	49	11546788	11270570	11887157	11827638	11435080	11931966
F2386	234.8402	788.71	1	0.92	46	779866	0	0	0	0	0
F2387	234.8402	801.36	1	0.94	52	0	673628	0	0	0	0
F2388	234.8402	814.46	1	0.95	139	0	1618	0	757827	708259	505309
F2389	294.1782	145.95	1	0.64	38	0	0	0	311194	0	281702
F2390	334.2094	145.95	1	0.84	168	1911221	2256465	2299091	2270926	1846639	1216555
F2391	334.2094	237.83	1	0.78	89	1074869	1089799	1148128	1275151	1202531	1279996
F2392	334.2094	410.85	1	0.48	29	1443859	1488710	1511999	1470847	1374734	1497417
F2393	234.9181	826.81	1	0.91	72	29715068	29318283	36275001	3318243	2713600	2098215
F2394	234.9181	845.08	1	0.99	125	378892	5784289	1568273	26284127	30066694	32778267
F2395	167.1431	147.7	1	0.85	26	1374626	1228371	1001492	1196245	1476359	1530171
F2396	167.1431	152.96	1	0.89	22	3102485	2522666	3056238	2138052	2210899	1767092
F2397	167.1431	235.83	1	0.83	15	1079527	467557	1185132	1238839	1265692	1354922
F2398	235.0613	712.19	1	0.63	13	17555046	18920651	23495248	19630600	22706883	22643806
F2399	334.2142	152.07	1	0.93	716	11892591	7434881	6501602	3391540	2474704	2231103
F2400	334.2142	186.61	1	0.96	57	586005	680716	641753	166766	158710	216299
F2401	334.2142	233.86	0.96	0.77	26	1180186	1024047	1384321	580529	447874	601156
F2402	334.2142	475.54	0.49	0.96	18	489708	395273	382217	188766	148790	164327
F2403	294.1911	167.76	1	0.92	628	27702402	30337243	31625186	34106249	35004528	35822576
F2404	294.1911	184.65	1	0.99	474	82962176	86701817	88610686	77958630	82979000	81609111
F2405	235.0771	209.67	1	0.85	72	2119218	1545714	2281978	2141954	1835083	2250296
F2406	235.0771	253.71	1	0.94	441	6681708	5803094	6482813	7193614	6224630	6351162
F2407	294.1993	157.74	1	0.97	813	354501	1129151	822383	1231038	1283736	1471599
F2408	334.2223	157.74	1	0.9	97	1379519	1060110	1391397	1331091	931427	1261639
F2409	334.2223	186.61	0.92	0.69	16	535226	538061	581079	622716	624720	703240
F2410	334.2223	238.79	0.92	0.53	15	563089	371425	563941	746144	646973	824819
F2411	235.1184	143.05	1	0.99	367	0	0	0	954644	1020432	911535
F2412	235.1184	186.61	1	0.84	65	0	0	0	512053	434411	481016
F2413	235.1184	239.78	1	0.97	78	0	0	0	201762	216742	200663
F2414	334.2376	145.95	1	0.98	481	10582017	11708578	10166486	12423712	10610768	10688104
F2415	294.2065	146.83	1	0.89	78	2006365	2228533	2416474	2643813	1965334	2450401
F2416	294.2065	157.74	1	0.45	23	1481442	1009501	1108858	1430023	978092	1063863
F2417	294.2065	237.83	1	0.39	11	866559	521578	835881	937512	831718	887192
F2418	235.121	615.11	1	0.87	82	0	0	0	1535786	1318256	1205335
F2419	334.2592	143.05	1	0.89	415	717941	699298	672541	1042542	971328	851872
F2420	294.2145	145.95	1	0.87	588	801380	556156	1044550	1020892	823176	920589
F2421	294.2145	157.74	1	0.91	726	2128471	2141964	1907987	716400	432841	637864
F2422	235.1331	144.07	1	0.7	23	1166380	1383949	979221	1270053	1028015	1403603
F2423	235.1331	237.83	1	0.5	11	303868	206423	323401	324447	327724	308032
F2424	334.2743	145.04	1	0.98	238	576352	622388	573513	545230	533120	432374
F2425	334.2743	172.51	1	0.92	73	207775	198723	213111	242251	196702	229519
F2426	334.2743	238.79	1	0.97	87	276886	29776	202502	284069	339828	334810
F2427	235.1486	145.04	0.83	0.82	188	423894	0	515922	0	0	498019
F2428	294.2276	127.33	1	0.89	7	462781	543076	575256	535503	551692	542163
F2429	294.2276	152.96	1	0.98	69	3139563	3681702	3420081	3791676	3390110	3046186
F2430	294.2276	164.92	1	1	289	9312884	9742290	10225614	12924387	13261211	13739179
F2431	294.2276	253.71	1	0.83	119	21588815	21736262	24566707	20313458	20617496	22212410
F2432	167.9454	294.97	1	0.96	142	0	0	0	3248449	2996989	4009723
F2433	334.3451	168.67	1	0.78	854	0	0	0	4572000	4359305	4127007
F2434	334.3451	236.86	1	0.98	478	0	0	0	1922012	1810420	1745246
F2435	168.0436	788.71	1	0.99	191	3896	0	0	0	1714107	1537324
F2436	235.1543	158.76	1	0.97	51	953831	1295798	1272999	1351455	1564165	1086151
F2437	235.1543	169.59	1	0.41	26	1438791	1365485	1428776	1527091	1392407	1448004
F2438	334.3543	172.51	1	0.87	128	0	0	0	496249	368415	352545
F2439	334.3543	280.26	1	0.98	187	0	0	0	1906426	1909329	1941606
F2440	335.0111	111.41	1	0.98	532	1522657	1300497	726244	1432483	1570205	1471846
F2441	294.2427	152.96	1	0.99	1461	190003345	188643688	180926760	124056092	115389097	111882318
F2442	294.2427	160.81	1	0.99	1098	173861078	179724628	190396793	82435200	85547721	82628022
F2443	235.1698	141.99	1	0.89	26	2782584	2930637	2606886	2859429	3174959	3175160
F2444	235.1698	155.75	1	0.75	11	984254	944770	667124	1029332	833487	1143965
F2445	168.0787	440.82	1	0.98	258	26731	0	25898	2754668	2774929	2994777
F2446	235.1887	150.31	1	0.95	218	0	0	0	459631	545447	252353
F2447	335.1469	237.83	1	0.76	321	2346484	1797977	2123049	2047364	0	1866306
F2448	294.8359	797.36	1	0.54	716	3785024	4340705	6257712	0	0	0
F2449	294.8359	818.78	1	0.74	1205	2783	577263	3088	3432565	4104184	5085682
F2450	335.1482	237.83	0.86	0.87	84	52914	12267	69995	68064	1188579	69674
F2451	235.2061	145.95	1	0.84	44	1266556	1810524	1479542	1359701	1321377	1360068
F2452	236.1033	688.96	1	0.96	365	0	0	0	1444576	1501032	1484851
F2453	335.1638	146.83	1	0.95	307	1413386	1256071	1842740	1288035	1436237	1330565
F2454	335.1638	153.86	1	0.83	91	364516	384803	543738	530221	353722	354356
F2455	295.1326	147.7	1	0.86	320	3906173	3394987	3746684	3930822	3355459	3295786
F2456	236.1131	152.07	1	0.99	233	10773788	10686680	9276469	16309361	14650531	13635185
F2457	236.1499	293.91	1	0.41	22	9260115	9204014	9377232	9931313	10008031	9985397
F2458	236.1499	404.42	1	0.87	9	1093110	1131240	867061	1300751	1163879	1111242
F2459	295.1542	158.76	0.67	0.51	66	101217	48525	148383	183643	149443	199740
F2460	295.1542	237.83	0.67	0.91	65	178355	18388	165051	196851	149496	96081
F2461	236.1648	145.95	1	0.88	16	229405	381450	283739	547218	326794	489393
F2462	236.1648	162.88	1	0.82	31	2578803	2263759	2610010	2006828	1501561	1599820
F2463	236.1648	237.83	1	0.35	9	862754	589111	872900	968736	1012670	990996
F2464	295.1575	187.59	1	0.94	249	1023893	944380	986389	1129323	1027162	1061876
F2465	295.1575	245.67	1	0.85	308	991426	943929	887460	1192626	1246243	1104755
F2466	236.9857	798.38	1	0.66	64	1082621	987095	1090705	0	0	0
F2467	236.9857	824.43	1	0.97	102	22511	214420	14361	1099334	1158823	1113246
F2468	295.1694	146.83	1	0.91	1031	3462311	3871656	3398796	4177422	5148786	3598610
F2469	237.1164	152.07	1	0.95	347	354419	298870	388108	360269	814144	463509
F2470	335.1688	165.91	0.8	0.93	229	0	0	0	0	2260242	0
F2471	237.1279	145.95	1	0.91	424	938141	907137	1100616	1191985	907758	816037
F2472	168.0963	707.79	1	0.91	38	0	0	0	30686633	33589042	37601031
F2473	295.1905	146.83	1	0.94	484	5412591	5000963	4035248	5564442	5233737	5165211
F2474	295.1905	236.86	1	0.65	28	392931	215342	447163	386261	342361	384402
F2475	335.1702	165.91	1	0.62	922	6757908	6881134	6865344	7019302	6887161	7042826
F2476	168.102	148.57	0.14	0.81	7	249942	77298	198162	501339	734447	927820
F2477	295.1945	167.76	1	0.84	1402	3390242	3301595	3878665	4263347	4371714	4837989
F2478	295.1945	185.63	1	0.99	1382	10413554	10707084	11167220	9530577	10426400	10472965
F2479	168.1132	419.6	1	0.99	91	4472603	4432037	5191039	4301603	4317155	4648650
F2480	295.2057	146.83	1	0.98	656	2423341	2160163	2269173	2272123	2163427	1864221
F2481	295.2057	234.85	0.95	0.57	32	199806	106300	232347	241697	224356	258838
F2482	168.1215	493.18	1	0.97	68	983445	968480	1048072	1055557	991890	1029812
F2483	335.1853	147.7	1	0.79	488	4627241	4683938	5239443	4896452	5065651	4984436
F2484	335.1853	237.83	1	0.82	143	1170927	1357784	1480974	1414894	1515552	1456278
F2485	335.1853	413.02	1	0.52	34	459000	413253	491075	489705	515125	524852
F2486	168.1231	260.8	1	0.9	22	5154204	5536540	5669606	7583062	7717186	8052909
F2487	295.2118	171.5	1	0.71	687	5077910	5128000	5426073	5760775	5288666	5042399
F2488	335.1969	417.43	0.75	0.74	72	322973	316997	365077	424119	355131	352031
F2489	335.2004	273.07	0.74	0.9	69	14378	78694	35888	1001096	1182703	1219149
F2490	295.227	145.04	1	0.89	208	9485251	10166498	10938962	10190730	9083486	9815525
F2491	295.227	160.81	1	0.95	97	5541120	6099289	6486665	2851709	2316709	2373208
F2492	295.227	236.86	1	0.84	26	1371554	1237098	1474456	1287100	1331647	1352916
F2493	295.2309	153.86	1	0.8	61	61046	146410	122288	349975	0	292178
F2494	295.2309	164.92	1	1	616	1264594	1285825	1500007	1544661	1686188	1722859
F2495	295.2309	184.65	1	0.87	47	303922	332299	348394	251677	224993	240530
F2496	295.2309	208.68	1	0.8	45	596669	514041	706510	390437	426388	556912
F2497	295.2309	254.73	1	0.93	266	1974958	2016283	2077918	1960228	1901891	2232461
F2498	237.1491	145.95	1	0.89	18	758733	745980	715497	832252	601754	861179
F2499	237.1491	152.96	1	0.84	17	1280505	1944126	1477644	1458702	1109666	1557475
F2500	237.1491	235.83	1	0.88	19	979941	317908	1035569	1136662	1054448	1150847
F2501	237.1642	145.04	1	0.98	463	865152	1089952	932723	978516	1010385	1035289
F2502	295.2381	170.53	0.96	0.85	143	210251	282213	347399	540451	392240	440839
F2503	295.2381	190.56	0.96	0.99	150	733246	766779	828195	728257	743753	763115
F2504	295.2381	233.86	0.87	0.8	40	84615	30538	137119	181212	218923	188872
F2505	295.2381	250.69	1	0.92	222	1056478	1088246	1046904	991186	903968	868742
F2506	295.2461	152.96	1	0.94	3050	63751873	63696744	66130257	35658642	33967454	34377365
F2507	237.1701	185.63	1	0.77	30	0	1627779	1630324	1810136	2012428	2030550
F2508	295.2633	145.04	1	0.93	352	1517622	1182665	1561136	1307205	1355132	1335765
F2509	168.1383	152.96	1	0.85	64	11606990	12209239	11595358	9676438	9969762	10201224
F2510	237.1852	146.83	1	0.95	34	2650708	2415719	2642046	3056668	3123500	2874726
F2511	335.2221	145.95	1	0.83	61	10881929	11783732	11796003	11425998	10624350	9723745
F2512	335.2221	235.83	1	0.95	73	5783984	605506	6379302	6760912	6497571	6589029
F2513	335.2221	253.71	0.89	0.45	15	13504900	14346729	13904353	14186514	13594625	14312523
F2514	335.2221	403.38	0.92	0.45	19	13504900	14346729	13904353	14186514	13594625	14312523
