id_number	mz	rtime	neg-12C14N-3-0ev	neg-12C14N-1-0ev	neg-12C14N-2-0ev
F966	173.0647	563.28	768880	717828	775146
F980	173.0831	1005.87	77103	62644	344789
F991	173.0929	678.51	7174126	7318750	7233973
F994	173.0929	816.25	2934286	3008517	3207045
F992	173.0929	714.88	2724940	2634117	2706885
F990	173.0929	588	1507713	1507646	1529923
F989	173.0929	573.88	1535770	1475014	1501699
F993	173.0929	786.99	1036464	800133	855833
F996	173.101	425.75	1670422	1673154	1762722
F1003	173.1041	1006.44	3821071479	3797407018	3756987392
F1005	173.1066	253.82	335462	275369	303230
F1039	173.143	159.93	4046422	4283288	4169683
F1041	173.143	245.31	1719298	1715970	1655764
F1047	173.1454	159.93	5277150	5815556	5334217
F1049	173.1454	241.28	2477219	2278934	2232340
F1052	173.1481	159.93	108437	0	134753
F9474	173.1761	1008.16	14578353	13789447	5831844
F9504	173.177	1006.44	3946824	7646694	6054738
F1056	173.3463	1007.02	1651417	2387746	1516473
F1057	173.3463	1015.72	874733	686407	866328
F1061	173.4008	1009.88	775065	630474	756163
F1060	173.4008	1005.87	438093	606398	443547
F1066	173.9498	798.62	141750	189072	198716
F1068	173.9862	781.81	5281801	5554042	5040432
F9520	174.0035	399.08	1494514	1508600	1605853
F9521	174.0035	407.25	1494514	1508600	1605853
F9522	174.0035	415.39	603064	696233	559046
F9523	174.0035	735.39	228635	358233	466877
F10244	174.0123	831.7	0	951697	1004081
F1077	174.0133	831.13	1181540	0	0
F9530	174.0153	818.52	5422226	3966118	5159050
F9529	174.0153	318.34	463166	484876	428110
F1082	174.0194	359.31	8897598	8921428	8861377
F9533	174.0343	1007.02	1055843	1013254	972871
F1091	174.0391	354.04	11898567	12725152	12111280
F1098	174.0405	802.62	21024097	20808763	21052222
F1097	174.0405	428.04	1499793	1458140	1375086
F1117	174.0433	359.9	192996927	205869301	197982534
F1124	174.0486	432.07	2222369	2107641	2143435
F1123	174.0486	223.21	1215344	1228294	1290637
F1122	174.0486	215.06	299205	258551	291286
F1129	174.0542	679.09	99766	97754	84452
F1135	174.0557	339.99	1320413	1464449	1439013
F1136	174.0557	819.66	284825	231555	137897
F1139	174.0595	678.51	1346970	1271270	1352395
F1138	174.0595	426.32	281065	293756	296678
F10247	174.0628	819.09	0	539110	260852
F1142	174.0654	676.77	261185	251698	255363
F1149	174.0769	734.8	102190460	100372241	102545912
F1148	174.0769	675.61	1583682	1531263	1565471
F1160	174.085	677.93	109421	121603	90516
F1162	174.0882	818.52	1448661595	1455720559	1472105552
F1163	174.0963	678.51	378890	406121	347835
F1165	174.1013	1007.02	56620993	55839242	55842387
F1166	174.1075	1006.44	254391528	253000232	250630048
F1179	174.1214	818.52	535526	355372	327363
F1177	174.1214	137.86	66881	94701	85964
F10248	174.1464	159.93	0	269211	138763
F1180	174.1495	735.39	398966	317786	247906
F1181	174.1614	818.52	5317856	6382162	6018801
F1183	174.1807	1007.02	949494	663678	666857
F1196	174.9561	530.87	14165786	13814994	13751182
F1206	174.9979	678.51	171669	254239	275485
F1217	175.001	410.74	15930774	16106161	16159275
F1219	175.018	819.09	278354	280365	313870
F1227	175.0245	776.71	4004532	3961089	4124490
F1230	175.0274	430.92	766647	735328	642025
F1231	175.0358	817.95	4171508	4241576	4296279
F1240	175.0467	360.49	20155488	21202163	20594464
F1243	175.051	352.88	90286868	100535102	95878325
F1250	175.0624	1167.22	3325919	2483402	3118749
F1252	175.0722	678.51	84135309	84608050	85115710
F1255	175.0762	166.7	676699	514585	604811
F1256	175.0803	734.8	7608986	7384016	7678004
F1257	175.0853	818.52	15336627	14932518	15770058
F1263	175.0915	818.52	97209271	96088456	98322791
F1272	175.1045	1007.02	3405565	3342390	3434293
F1273	175.1083	1005.3	14808412	14481896	14693273
F1277	175.1107	1006.44	6138394	6080670	5706857
F1280	175.1338	183.26	72529	141738	113407
F1329	175.9592	526.73	177624	176756	167827
F1330	175.9592	532.05	117750	132137	116527
F9534	175.9644	428.04	890305	848775	591988
F1331	176.0098	780.12	1465702	1351877	1374800
F1337	176.0351	426.32	94404604	98990537	97300307
F1339	176.0385	428.62	217379576	222655348	221784523
F1340	176.0385	715.46	249632	332228	321061
F1344	176.044	901.64	6488869	5773718	6373269
F1343	176.044	865.2	5226527	5208585	5187121
F1345	176.0545	361.07	6915305	7920199	7639245
F1346	176.0545	425.75	561036	696419	694763
F1354	176.0562	803.18	75677797	74311362	75887050
F1353	176.0562	791.6	15411111	15448638	15204476
F1360	176.0694	679.09	474175	503945	448246
F1362	176.0756	678.51	5019759	5238785	5254881
F1363	176.0818	735.98	662766	638635	666826
F1366	176.083	735.39	164412	0	163210
F1367	176.0884	818.52	902674	888387	766554
F1376	176.0925	818.52	8122082	8436390	8562684
F1375	176.0925	673.29	1276113	1210895	1363006
F1378	176.0948	819.09	2280640	2125679	2477288
F1380	176.1114	1008.16	600275	712715	736600
F9536	176.113	432.07	769061	807411	659432
F1405	176.9168	830.57	715277	472091	314462
F1420	176.9357	851.83	1782755	2648846	1902036
F1431	176.949	836.22	1033157	1115733	1109532
F1430	176.949	812.27	856202	731337	875514
F1434	176.9722	779.55	502401	397129	421089
F1438	176.9754	348.78	11867591	12091476	11880765
F1439	176.9754	423.46	3686149	3613026	3608048
F1445	177.0225	209.84	1282241	1248223	1258262
F1446	177.0225	220.3	694249	790338	771072
F1453	177.0338	532.64	409810	368488	378726
F1455	177.0419	428.04	10081924	0	0
F9544	177.0593	802.05	3671035	3516011	3844152
F1469	177.078	1145.19	2073351	1759185	2096899
F1470	177.0879	780.12	3967902	3969969	3812745
F1472	177.0956	818.52	386842	402600	458344
F1478	177.9029	774.98	1318058	1315499	1450153
F1498	177.983	476.41	780042	858187	858642
F1497	177.983	433.22	594919	649674	690354
F1507	178.0143	248.17	517334	512329	559145
F1508	178.0344	429.19	8457146	8981056	8609378
F1514	178.0542	720.71	312484	287886	296581
F1516	178.059	1005.87	5987318	5543301	5765380
F1523	178.0619	1166.03	10839715	9393651	10752204
F1527	178.0667	413.65	954242	1083129	1006367
F1539	178.0871	173.52	4117020	7677896	2734843
F1551	178.0952	252.69	243044	446312	302349
F1548	178.0952	168.96	323953	361539	233158
F1547	178.0952	157.11	163822	203613	197124
F1549	178.0952	176.95	104309	168356	58997
F1555	178.9447	835.09	453562	538588	433990
F1558	178.9505	830.57	784742	683096	497641
F10262	178.9653	176.95	0	1036909	0
F10263	178.9653	424.04	0	721963	0
F9556	178.9802	721.29	992964	759455	1003414
F9557	178.9802	871.02	474703	534649	594252
F1650	179.0347	251.57	17452678	17881773	18217892
F1648	179.0347	174.09	3103310	2763432	2711593
F1649	179.0347	229.64	1489845	1367414	1484650
F1651	179.0347	711.95	1038838	1083051	1159752
F1663	179.0558	718.37	239699795	241508060	241339343
F1664	179.0574	1179.7	2405228	2041890	2240764
F1679	179.0823	311.93	1887748	1927204	1939927
F1681	179.0904	173.52	331138	612513	150808
F1684	179.0923	425.18	1072212	1029753	963996
F1686	179.0923	534.41	507212	393620	534726
F1685	179.0923	507.73	67532	44255	98698
F1694	179.1327	718.37	203495	898194	881756
F1696	179.9759	862.29	294699	527064	347534
F1697	179.9891	645.14	126613	626489	368000
F1698	179.9898	648.66	427290	0	440549
F1721	180.0278	679.67	230536	271683	216494
F1728	180.0333	167.84	33181	64162	105621
F1729	180.0333	179.24	70822	43931	42668
F1735	180.0594	718.37	14080127	14077483	13996386
F1738	180.0664	645.73	155381434	164531830	160943584
F1770	180.1433	645.73	467222	376190	510706
F1773	180.9214	831.13	3499353	3161072	3443701
F1779	180.926	559.75	2704425	2545400	2861736
F1776	180.926	335.3	1213616	1117873	1181949
F1777	180.926	430.34	1024076	1030565	1043164
F1781	180.952	860.54	1879420	2314647	1993551
F1783	180.9728	530.87	1111160	1097705	1111138
F9569	180.9914	294.47	1805012	1963544	1854338
F1790	180.9941	709.62	474329	815782	661372
