id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F10203	548.4526	146.83	15530309	17917190	19690785	17824059	17262694	18063668
F10505	554.176	140.93	30229270	43694984	51199304	48619111	61955128	69072340
F8363	578.4359	151.18	28288283	24996454	27593771	28724192	29920714	29249504
F9207	648.4677	153.86	25788349	26123574	3519350	28696278	22227928	30017008
F10856	558.3845	164.92	20584116	21503894	22136599	22838538	21902981	21515287
F1178	322.1745	151.18	56951877	57037697	55183359	64007875	63408241	58541353
F8653	531.3145	144.07	18479359	21299544	20478059	20803606	17815400	18659901
F6904	465.216	147.7	22952518	24340433	24132605	27259738	27571602	25941913
F5803	454.3009	163.9	95517330	99726140	103366999	109901549	109380369	109568333
F4287	478.4101	145.95	16246279	9339665	17943191	13753344	14884034	13249023
F530	203.1149	773.92	136490704	146218260	152160428	842441	1050140	1295303
F6331	372.1903	833.42	0	0	0	87180690	92242196	95380642
F131	309.279	146.83	43348631	44061906	45087170	40052136	39228927	39147456
F5379	412.3787	140.93	14428338	14101612	14278175	13338743	14399345	10957940
F10587	289.201	162.88	31202353	30740729	31646920	33358896	32846484	32132132
F3783	352.2455	147.7	14443217	15536392	17054753	36909243	35947024	37767477
F5367	365.1997	151.18	52944580	53284809	53066631	59230549	53556746	52993585
F8703	394.1964	148.57	25120790	29205558	29660969	32477010	32938210	29482903
F9657	814.3763	682.38	0	0	0	70769742	76632866	85383238
F11982	730.5295	152.96	23298423	27591518	24601557	35279246	29579379	36192197
F4327	440.41	140.93	17288144	16603026	15909371	15785591	14891709	14944325
F8165	522.4362	146.83	19367146	19956224	0	18211781	16724310	18022823
F3166	302.3551	154.79	0	0	0	27638937	26379814	25772816
F4312	440.3216	158.76	238775174	250926865	248674060	259822393	255561881	264598368
F9962	601.3261	238.79	17978972	9068413	25217721	18069595	21320368	25346129
F1520	325.2413	162.88	37454654	37342852	38903950	39381886	39167241	37997371
F10338	964.7123	152.07	19077838	22083979	23067064	23532619	22450299	20846469
F9168	536.4159	150.31	25523287	25522423	27621485	23778928	23386873	22229066
F10668	555.3118	167.76	40900229	43579115	46687869	45265263	45313255	49611455
